"Epoch (UTC)","Ch 9.12500E6 Hz (W/m^2/Hz)"
2016-07-03T13:00:32.497Z,2.7637E-20
2016-07-03T13:01:15.338Z,1.0139E-20
2016-07-03T13:01:58.174Z,7.3488E-20
2016-07-03T13:02:41.013Z,3.8694E-20
2016-07-03T13:03:23.850Z,3.3982E-20
2016-07-03T13:04:06.691Z,4.3023E-20
2016-07-03T13:04:49.533Z,5.1850E-20
2016-07-03T13:05:32.372Z,3.3982E-20
2016-07-03T13:06:15.208Z,1.4670E-20
2016-07-03T13:06:58.049Z,2.7201E-20
2016-07-03T13:07:40.893Z,2.4623E-20
2016-07-03T13:08:23.734Z,2.4886E-20
2016-07-03T13:09:06.572Z,1.9770E-20
2016-07-03T13:09:49.411Z,1.6941E-20
2016-07-03T13:10:32.256Z,5.2721E-20
2016-07-03T13:11:15.095Z,2.9398E-20
2016-07-03T13:11:57.932Z,8.1496E-20
2016-07-03T13:12:40.783Z,9.3186E-20
2016-07-03T13:13:23.622Z,4.7006E-20
2016-07-03T13:14:06.463Z,2.6863E-20
2016-07-03T13:14:49.302Z,3.9230E-20
2016-07-03T13:15:32.138Z,2.6863E-20
2016-07-03T13:16:14.975Z,3.9230E-20
2016-07-03T13:16:57.816Z,1.7969E-20
2016-07-03T13:17:40.661Z,2.4708E-20
2016-07-03T13:18:23.502Z,3.3521E-20
2016-07-03T13:19:06.342Z,1.1808E-20
2016-07-03T13:19:49.177Z,1.9992E-20
2016-07-03T13:20:32.014Z,2.4803E-20
2016-07-03T13:21:14.859Z,2.0957E-20
2016-07-03T13:21:57.701Z,1.2667E-20
2016-07-03T13:22:40.536Z,4.4090E-20
2016-07-03T13:23:23.377Z,3.4326E-21
2016-07-03T13:24:06.222Z,2.6439E-20
2016-07-03T13:24:49.061Z,1.1063E-19
2016-07-03T13:25:31.902Z,3.0163E-20
2016-07-03T13:26:14.743Z,4.2182E-20
2016-07-03T13:26:57.583Z,3.2802E-20
2016-07-03T13:27:40.420Z,1.5303E-20
2016-07-03T13:28:23.263Z,2.1825E-20
2016-07-03T13:29:06.100Z,1.3843E-20
2016-07-03T13:29:48.941Z,3.5273E-20
2016-07-03T13:30:31.777Z,2.3891E-20
2016-07-03T13:31:14.618Z,7.4021E-20
2016-07-03T13:31:57.458Z,4.3930E-20
2016-07-03T13:32:40.299Z,3.7896E-20
2016-07-03T13:33:23.138Z,2.9689E-20
2016-07-03T13:34:05.975Z,5.1314E-20
2016-07-03T13:34:48.816Z,6.6969E-20
2016-07-03T13:35:31.661Z,2.9168E-20
2016-07-03T13:36:14.502Z,3.0428E-20
2016-07-03T13:36:57.342Z,1.8092E-20
2016-07-03T13:37:40.179Z,1.6882E-20
2016-07-03T13:38:23.014Z,2.5891E-20
2016-07-03T13:39:05.854Z,3.7345E-20
2016-07-03T13:39:48.697Z,2.0481E-20
2016-07-03T13:40:31.536Z,2.9624E-20
2016-07-03T13:41:14.377Z,1.7836E-20
2016-07-03T13:41:57.213Z,3.8846E-20
2016-07-03T13:42:40.052Z,2.6623E-20
2016-07-03T13:43:22.893Z,1.3346E-20
2016-07-03T13:44:05.734Z,2.4375E-20
2016-07-03T13:44:48.576Z,7.0002E-20
2016-07-03T13:45:31.415Z,2.1620E-20
2016-07-03T13:46:14.260Z,4.1097E-20
2016-07-03T13:46:57.095Z,3.5273E-20
2016-07-03T13:47:39.932Z,6.1495E-20
2016-07-03T13:48:22.772Z,2.1735E-20
2016-07-03T13:49:05.615Z,1.2945E-20
2016-07-03T13:49:48.451Z,2.5362E-20
2016-07-03T13:50:31.290Z,2.2992E-20
2016-07-03T13:51:14.131Z,2.7488E-20
2016-07-03T13:51:56.970Z,1.3843E-20
2016-07-03T13:52:39.807Z,1.4294E-20
2016-07-03T13:53:22.647Z,2.6802E-20
2016-07-03T13:54:05.484Z,3.1929E-20
2016-07-03T13:54:48.326Z,2.2963E-20
2016-07-03T13:55:31.174Z,2.2447E-20
2016-07-03T13:56:14.010Z,2.8185E-20
2016-07-03T13:56:56.847Z,4.5985E-20
2016-07-03T13:57:39.686Z,1.9274E-20
2016-07-03T13:58:22.522Z,2.3085E-20
2016-07-03T13:59:05.368Z,1.4534E-20
2016-07-03T13:59:48.204Z,1.8279E-20
